aardvark|anteater,placental
artistry|art,prowess
artlessly|crudely,inexpertly,ingenuously
artwork|art,graphics
arum|herb,starch
ascribable|attributable,imputable,referable
ascription|attribution,categorization,classification
aseptic|antiseptic,sterile
asininity|folly,foolishness
askance|indirect,sidelong,squint
asp|cobra,viper
asparagus|herb,vegetable,veggie
aspartame|sweetener,sweetening
asphalt|mineral,pave
asphyxiation|kill,killing,suffocation
aspic|gelatin,jelly
aspire|aim,plan
aspirin|analgesic,anodyne,painkiller
aspiring|ambitious,aspirant,wishful
assailable|open,undefended,vulnerable
assassin|bravo,liquidator,murderer
asset|plus,quality
asseverate|assert,insist,maintain
asseveration|assertion,declaration
assiduous|diligent,sedulous
assize|ordinance,regulation,writ
assizes|court,judicature,tribunal
assonance|rhyme,rime
assuming|assumptive,forward,presumptuous
assured|confident,secure
astatine|element,halogen
aster|flower,structure
asterisk|character,mark,star
astern|abaft,aft
astigmatism|condition,status
astonish|amaze,astound,surprise
astonished|amazed,surprised
astonishingly|amazingly,surprisingly
astonishment|amazement,feeling
astound|amaze,astonish,surprise
astronautics|aeronautics,physics
astronomer|physicist,stargazer
astrophysicist|astronomer,stargazer
astute|sharp,shrewd,smart
astutely|acutely,sagaciously,shrewdly
asunder|apart,separate
at|astatine,element,halogen
atavist|being,organism,throwback
atavistic|regressive,throwback
atheism|disbelief,godlessness,unbelief
atheistic|atheist,irreligious,unbelieving
athlete|contestant,jock
athwart|aslant,obliquely
atilt|inclined,leaning
atlas|column,pillar,reference
atmospheric|part,region
atomizer|dispenser,spray,sprayer
atrium|chamber,court,courtyard
attache|briefcase,specialist
attendance|company,frequency
attendee|attendant,participant
attenuate|rarefy,weaken
attestation|evidence,testimony
attitudinal|cognition,knowledge
attitudinize|pose,posture
attorney|lawyer,professional
attractiveness|attraction,beauty,quality
attribution|ascription,categorization,classification
attune|adjust,correct,set
auger|drill,gimlet,snake
augment|grow,increase
augmentation|increase,statement,step-up
augury|experience,sign
aunt|auntie,aunty,kinswoman
auntie|aunt,aunty,kinswoman
aunty|aunt,auntie,kinswoman
aural|quality,receptor
auricle|ear,pocket,pouch
auricular|pocket,pouch,receptor
auscultate|examine,see
auspices|aegis,endorsement,protection
austerity|asceticism,self-denial,self-discipline
authenticity|credibility,genuineness,legitimacy
authoress|author,writer
authorities|government,polity,regime
autistic|ill,sick
autobiography|biography,life
autoclave|sterilize,sterilizer,vessel
autocratically|dictatorially,magisterially
autoimmune|reaction,response
automaker|maker,manufacturer
automatism|reaction,response
automotive|moving,self-propelled,self-propelling
autopilot|device,unconsciousness
autumn|fall,season
availability|accessibility,convenience,handiness
avariciously|covetously,greedily
avatar|embodiment,incarnation,personification
avenger|aggressor,assailant,attacker
aviary|building,edifice
aviator|airman,flier,flyer
avidity|eagerness,enthusiasm,keenness
avionic|aeronautics,astronautics
avionics|aeronautics,astronautics
avocational|interest,pastime,pursuit
avouch|acknowledge,admit,avow
avowal|affirmation,assertion,asseveration
avowedly|admittedly,confessedly,professedly
await|expect,look,wait
awakening|arousal,rousing
awash|afloat,full
aweigh|free,up
awestricken|awed,awestruck
awestruck|awed,awestricken
awfulness|dreadfulness,terribleness,unpleasantness
awning|canopy,sunshade
babyhood|immaturity,infancy
babysitter|keeper,sitter
babysitting|aid,attention,care
baccalaureate|degree,discourse,sermon
bachelor|knight,live,man
